tweet_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,jpg_url,favorites,retweets,user_followers,dog_stages,predictions,confidence,gender
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,this is phineas. he's a mystical boy. only ever appears in the hole of a donut. 13/10 https://t.co/mguwq76dju,https://twitter.com/dog_rates/status/892420643555336193/photo/1,13,10,Phineas,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,37200.0,7969.0,8310259.0,None,,0.0,male
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"this is tilly. she's just checking pup on you. hopes you're doing ok. if not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0xxu71qeiv",https://twitter.com/dog_rates/status/892177421306343426/photo/1,13,10,Tilly,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,31996.0,5913.0,8310259.0,None,Chihuahua,0.323581,female
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,this is archie. he is a rare norwegian pouncing corgo. lives in the tall grass. you never know when one may strike. 12/10 https://t.co/wunznhtvjb,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,24092.0,3909.0,8310259.0,None,Chihuahua,0.716012,male
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,this is darla. she commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/td36da7qlq,https://twitter.com/dog_rates/status/891689557279858688/photo/1,13,10,Darla,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,40514.0,8118.0,8310259.0,None,Labrador_retriever,0.168086,female
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"this is franklin. he would like you to stop calling him ""cute."" he is a very fierce shark and should be respected as such. 12/10 #barkweek https://t.co/atuzn91f7f","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,38742.0,8801.0,8310259.0,None,basset,0.555712,male
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,here we have a majestic great white breaching off south africa's coast. absolutely h*ckin breathtaking. 13/10 (ig: tucker_marlo) #barkweek https://t.co/kq04fddrmh,https://twitter.com/dog_rates/status/891087950875897856/photo/1,13,10,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,19473.0,2927.0,8310259.0,None,Chesapeake_Bay_retriever,0.425595,NaN
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"meet jax. he enjoys ice cream so much he gets nervous around it. 13/10 help jax enjoy more things by clicking below

https://t.co/zr4hwfas1h https://t.co/tvjbrmnhxl","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",13,10,Jax,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,11363.0,1942.0,8310259.0,None,Appenzeller,0.34170300000000003,male
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,when you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nonbcwxq,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",13,10,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,62756.0,17747.0,8310259.0,None,Pomeranian,0.566142,NaN
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,this is zoey. she doesn't want to be one of the scary sharks. just wants to be a snuggly pettable boatpet. 13/10 #barkweek https://t.co/9twluagh0b,https://twitter.com/dog_rates/status/890609185150312448/photo/1,13,10,Zoey,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,26789.0,4029.0,8310259.0,None,Irish_terrier,0.487574,female
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,this is cassie. she is a college pup. studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5s2a,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,30691.0,6933.0,8310259.0,doggo,Pembroke,0.511319,female
